symbol,event_type,ex_date,record_date,pay_date,ratio,cash_amount
MMM,dividend,2024-08-26,,,,0.7
MMM,dividend,2024-11-15,,,,0.7
MMM,dividend,2025-02-14,,,,0.73
MMM,dividend,2025-05-23,,,,0.73
MMM,dividend,2025-08-25,,,,0.73
MMM,split,1972-06-16,,,2.0,
MMM,split,1987-06-16,,,2.0,
MMM,split,1994-04-11,,,2.0,
MMM,split,2003-09-30,,,2.0,
MMM,split,2024-04-01,,,1.196,
AOS,dividend,1986-01-27,,,,0.011111
AOS,dividend,1986-04-24,,,,0.011111
AOS,dividend,1986-07-25,,,,0.011111
AOS,dividend,1986-10-27,,,,0.011111
AOS,dividend,1987-01-26,,,,0.011111
AOS,dividend,1987-04-24,,,,0.011111
AOS,dividend,1987-07-27,,,,0.011111
AOS,dividend,1987-10-26,,,,0.011111
AOS,dividend,1988-01-25,,,,0.011111
AOS,dividend,1988-04-25,,,,0.011111
AOS,dividend,1988-07-25,,,,0.011111
AOS,dividend,1988-10-25,,,,0.011111
AOS,dividend,1989-01-25,,,,0.011111
AOS,dividend,1989-04-24,,,,0.011111
AOS,dividend,1989-07-25,,,,0.011111
AOS,dividend,1989-10-25,,,,0.011111
AOS,dividend,1990-01-25,,,,0.011111
AOS,dividend,1990-04-24,,,,0.011111
AOS,dividend,1990-07-25,,,,0.011111
AOS,dividend,1990-10-25,,,,0.011111
AOS,dividend,1991-01-25,,,,0.011111
AOS,dividend,1991-04-24,,,,0.011111
AOS,dividend,1991-07-25,,,,0.011111
AOS,dividend,1991-10-25,,,,0.011111
AOS,dividend,1992-01-27,,,,0.011111
AOS,dividend,1992-04-24,,,,0.011111
AOS,dividend,1992-07-27,,,,0.011111
AOS,dividend,1992-10-26,,,,0.011111
AOS,dividend,1993-01-25,,,,0.011111
AOS,dividend,1993-03-02,,,,0.027778
AOS,dividend,1993-04-26,,,,0.011111
AOS,dividend,1993-07-26,,,,0.012222
AOS,dividend,1993-10-25,,,,0.012222
AOS,dividend,1994-01-25,,,,0.012222
AOS,dividend,1994-04-25,,,,0.014444
AOS,dividend,1994-07-25,,,,0.014444
AOS,dividend,1994-10-25,,,,0.014444
AOS,dividend,1995-01-25,,,,0.014444
AOS,dividend,1995-04-24,,,,0.016667
AOS,dividend,1995-07-27,,,,0.016667
AOS,dividend,1995-10-27,,,,0.016667
AOS,dividend,1996-01-29,,,,0.016667
AOS,dividend,1996-04-26,,,,0.018889
AOS,dividend,1996-07-29,,,,0.018889
AOS,dividend,1996-10-29,,,,0.018889
AOS,dividend,1997-01-29,,,,0.018889
AOS,dividend,1997-04-28,,,,0.018889
AOS,dividend,1997-07-29,,,,0.018889
AOS,dividend,1997-10-29,,,,0.018889
AOS,dividend,1998-01-28,,,,0.018889
AOS,dividend,1998-04-28,,,,0.018889
AOS,dividend,1998-07-29,,,,0.02
AOS,dividend,1998-10-28,,,,0.02
AOS,dividend,1999-01-27,,,,0.02
AOS,dividend,1999-04-28,,,,0.02
AOS,dividend,1999-07-28,,,,0.02
AOS,dividend,1999-10-27,,,,0.02
AOS,dividend,2000-01-27,,,,0.02
AOS,dividend,2000-04-26,,,,0.02
AOS,dividend,2000-07-27,,,,0.021667
AOS,dividend,2000-10-27,,,,0.021667
AOS,dividend,2001-01-29,,,,0.021667
AOS,dividend,2001-04-26,,,,0.021667
AOS,dividend,2001-07-27,,,,0.021667
AOS,dividend,2001-10-29,,,,0.021667
AOS,dividend,2002-01-29,,,,0.021667
AOS,dividend,2002-04-26,,,,0.021667
AOS,dividend,2002-07-29,,,,0.023333
AOS,dividend,2002-10-29,,,,0.023333
AOS,dividend,2003-01-29,,,,0.023333
AOS,dividend,2003-04-28,,,,0.023333
AOS,dividend,2003-07-29,,,,0.025
AOS,dividend,2003-10-29,,,,0.025
AOS,dividend,2004-01-28,,,,0.025
AOS,dividend,2004-04-28,,,,0.025
AOS,dividend,2004-07-28,,,,0.026667
AOS,dividend,2004-10-27,,,,0.026667
AOS,dividend,2005-01-27,,,,0.026667
AOS,dividend,2005-04-27,,,,0.026667
AOS,dividend,2005-07-27,,,,0.026667
AOS,dividend,2005-10-27,,,,0.026667
AOS,dividend,2006-01-27,,,,0.026667
AOS,dividend,2006-04-26,,,,0.026667
